State_Name,Assembly_No,Sequence_No,Name,start_date,end_date,days_in_off,delay_apt,Administrative_rule,MLC,Caretaker_CM,Constituency_No,Poll_No,Position,pid,Party,No_Terms,Turncoat,Incumbent,Recontest
Karnataka,1,2,Sri R.GUNDU RAO,12/1/80,6/1/83,1090,5,no,no,0,128,0,1,AEKA106140,INC(I),1,FALSE,FALSE,FALSE
Karnataka,1,3,Sri RAMAKRISHNA HEGDE,10/1/83,23/7/83,194,4,no,no,0,171,0,1,AEKA13380,JNP,1,FALSE,FALSE,FALSE
Karnataka,2,1,Sri RAMAKRISHNA HEGDE,24/7/83,29/12/84,524,1,no,no,0,171,0,1,AEKA13379,INC,1,FALSE,FALSE,FALSE
Karnataka,3,1,Sri RAMAKRISHNA HEGDE,8/3/85,13/2/86,342,69,no,no,0,82,0,1,AEKA10205,JNP,1,FALSE,FALSE,FALSE
Karnataka,3,2,Sri RAMAKRISHNA HEGDE,16/2/86,10/8/88,906,3,no,no,0,82,0,1,AEKA10205,JNP,1,FALSE,FALSE,FALSE
Karnataka,3,3,Sri S.R.BOMMAI,13/8/88,21/4/89,251,3,no,no,0,177,0,1,AEKA10869,JNP,1,FALSE,FALSE,FALSE
Karnataka,NA,3,PRESIDENT`S RULE,21/4/89,30/11/89,223,0,yes,no,0,,,,,,,,,
Karnataka,4,1,Sri VEERENDRA PATIL,30/11/89,10/10/90,314,0,no,no,0,7,0,1,AEKA107272,INC,1,FALSE,FALSE,FALSE
Karnataka,NA,4,PRESIDENT`S RULE,10/10/90,17/10/90,7,0,yes,no,0,,,,,,,,,
Karnataka,4,2,Sri S.BANGARAPPA,17/10/90,19/11/92,764,0,no,no,0,166,0,1,AEKA107071,INC,4,FALSE,TRUE,TRUE
Karnataka,4,3,Sri VEERAPPA MOILY,19/11/92,11/12/94,752,0,no,no,0,150,0,1,AEKA106234,INC,4,FALSE,TRUE,TRUE
